date,open,high,low,close,volume
20191230 013000,1.3092,1.30951,1.30692,1.30779,333
20191230 023000,1.30779,1.30982,1.30754,1.30903,4339
20191230 033000,1.30903,1.30998,1.30898,1.30969,5560
20191230 043000,1.30969,1.31081,1.30952,1.31068,5067
20191230 053000,1.31068,1.31247,1.31055,1.31225,5565
20191230 063000,1.31225,1.31252,1.31094,1.31179,6918
20191230 073000,1.31179,1.31179,1.31099,1.31109,3469
20191230 083000,1.31109,1.3125,1.31075,1.31188,3855
20191230 093000,1.31188,1.31226,1.31019,1.31098,4316
20191230 103000,1.31098,1.31257,1.31033,1.3121,10011
20191230 113000,1.3121,1.31211,1.30861,1.30924,16123
20191230 123000,1.30924,1.31214,1.30855,1.31186,11296
20191230 133000,1.31186,1.31248,1.3105,1.31183,10543
20191230 143000,1.31183,1.31251,1.31137,1.31216,10379
20191230 153000,1.31216,1.31358,1.31193,1.31316,11771
20191230 163000,1.31316,1.31344,1.31141,1.31256,13744
20191230 173000,1.31256,1.31507,1.31243,1.3144,16980
20191230 183000,1.3144,1.31447,1.31082,1.31146,20492
20191230 193000,1.31146,1.31446,1.31146,1.31397,16169
20191230 203000,1.31397,1.31474,1.31123,1.31185,14941
20191230 213000,1.31185,1.31296,1.31125,1.31205,8273
20191230 223000,1.31205,1.31249,1.31121,1.31154,10416
20191230 233000,1.31154,1.31158,1.3102,1.31036,10110
20191231 003000,1.31036,1.31125,1.31026,1.31119,4328
20191231 013000,1.31119,1.3122,1.31064,1.31202,6528
20191231 023000,1.31202,1.3123,1.31098,1.31113,3913
20191231 033000,1.31113,1.31193,1.31109,1.31144,3811
20191231 043000,1.31144,1.31251,1.31143,1.31246,3904
20191231 053000,1.31246,1.31362,1.31241,1.31289,4581
20191231 063000,1.31289,1.31306,1.31247,1.31267,2928
20191231 073000,1.31267,1.3128,1.31204,1.31204,1868
20191231 083000,1.31204,1.31204,1.31123,1.31165,4004
20191231 093000,1.31165,1.3117,1.31138,1.31151,2104
20191231 103000,1.31151,1.31387,1.31057,1.31384,8995
20191231 113000,1.31384,1.31396,1.31184,1.31372,14790
20191231 123000,1.31372,1.31641,1.31318,1.31587,14728
20191231 133000,1.31587,1.3176,1.31506,1.31747,19054
20191231 143000,1.31747,1.32109,1.31688,1.32093,27846
20191231 153000,1.32093,1.32113,1.31895,1.31941,16798
20191231 163000,1.31941,1.32175,1.31918,1.32152,12329
20191231 173000,1.32152,1.32174,1.32006,1.32147,15000
20191231 183000,1.32147,1.32496,1.32123,1.32435,27006
20191231 193000,1.32435,1.32844,1.32284,1.32681,26887
20191231 203000,1.32681,1.32725,1.32589,1.32625,14655
20191231 213000,1.32625,1.32664,1.32514,1.32521,6104
20191231 223000,1.32521,1.32522,1.32506,1.32507,87
20200102 093000,1.32507,1.32507,1.32189,1.32209,69
20200102 103000,1.32209,1.32297,1.32098,1.32198,14816
20200102 113000,1.32198,1.32308,1.32092,1.32218,18600
20200102 123000,1.32218,1.32273,1.32101,1.32145,10431
20200102 133000,1.32145,1.32151,1.32052,1.32114,10946
20200102 143000,1.32114,1.32117,1.31889,1.31995,14229
20200102 153000,1.31995,1.3213,1.31907,1.31973,12972
20200102 163000,1.31973,1.31973,1.31714,1.31766,16624
20200102 173000,1.31766,1.31778,1.31357,1.31476,19498
20200102 183000,1.31476,1.31948,1.31456,1.31895,22381
20200102 193000,1.31895,1.31899,1.31238,1.31271,22362
20200102 203000,1.31271,1.31348,1.31157,1.31345,17532
20200102 213000,1.31345,1.3144,1.31252,1.31399,14338
20200102 223000,1.31399,1.31409,1.31281,1.31291,13392
20200102 233000,1.31291,1.31458,1.31289,1.3139,9952
20200103 003000,1.3139,1.31458,1.31352,1.31403,3545
20200103 013000,1.31403,1.31488,1.31346,1.31396,457
20200103 023000,1.31396,1.31485,1.3133,1.31472,8090
20200103 033000,1.31472,1.31573,1.31402,1.31552,5680
20200103 043000,1.31552,1.31604,1.31348,1.31386,7774
20200103 053000,1.31386,1.31439,1.31229,1.31281,11238
20200103 063000,1.31281,1.31381,1.31272,1.31363,10837
20200103 073000,1.31363,1.31377,1.31248,1.31261,6000
20200103 083000,1.31261,1.31294,1.3116,1.31213,6472
20200103 093000,1.31213,1.31242,1.3105,1.31236,6947
20200103 103000,1.31236,1.31237,1.30829,1.30917,20371
